division_interval,section_code,section_desc,n_companies,turnover_cagr_mean_pct,turnover_cagr_ci_low,turnover_cagr_ci_high,employees_cagr_mean_pct,employees_cagr_ci_low,employees_cagr_ci_high,efficiency_gap_mean_pct,efficiency_gap_ci_low,efficiency_gap_ci_high,cagr_per_employee_mean,cagr_per_employee_ci_low,cagr_per_employee_ci_high,turnover_per_employee_2024_mean,turnover_per_employee_2024_ci_low,turnover_per_employee_2024_ci_high,scalability_ratio_mean,scalability_ratio_ci_low,scalability_ratio_ci_high
64-66,L,FINANCIAL AND INSURANCE ACTIVITIES,7,236.27963412562283,116.91219550912392,383.4320041089904,50.12636930848397,15.764263861720016,91.1812619774397,186.15326481713882,98.68702861367306,294.92426035040614,49.80269869688603,7.695829980729617,107.71324799339334,1977153.8461538462,679126.5567765569,4341287.362637362,6.54259448506734,3.6588346389416286,10.346409422782486
10-33,C,MANUFACTURING,39,141.58515505085757,85.39730888919405,209.88552717930457,32.71767039492957,21.265848570967247,45.80430571980484,108.86748465592802,57.203847052224084,172.56329004337377,35.67595087687599,16.680162367265027,61.42911861876296,2055986.7455227189,1274568.8426351093,2994507.8994812877,4.132482147499797,2.5638681133184815,6.012370338624403
58-60,J,"PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES",34,132.30955115531327,85.59231245254736,185.1652424148436,26.46782589222698,16.116877638028612,37.88492882051999,105.84172526308629,61.00580940521063,156.9722129213078,45.374073113369505,21.535300951161148,81.82865496287836,1096240.423504825,701420.0257336479,1656436.751243601,4.63563376504777,1.1452640067642985,9.583007776113304
01-03,A,"AGRICULTURE, FORESTRY AND FISHING",5,154.35833973707807,7.772327676677922,421.82712701631283,50.27250228965197,5.169979012836534,104.7399580256736,104.08583744742609,-21.271137661018507,317.2342872930376,48.23900935741562,2.3001259028958883,138.03878025359396,480781.6666666667,209283.33333333334,752280.0,2.30632301928438,0.31468232403283547,4.342093273080793
61-63,K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",117,122.99839847131992,96.24122886481106,152.9717586933992,28.667824871529046,22.481340343095894,35.030733345492074,94.33057359979087,69.25203554835132,121.82860761611937,35.2555829756053,25.484265434730872,46.33824154237478,1067149.2276269863,910067.7460907757,1231237.6097363988,3.033618007367199,0.578985900386028,5.161759390807448
46-47,G,WHOLESALE AND RETAIL TRADE,34,114.33433387933324,68.90050746390648,170.8675724731884,20.332135560319113,9.639166517409612,33.17835803215065,94.00219831901414,54.85755171618868,141.91956802849563,46.19251533426825,30.515304167634806,65.0215451101519,2094723.9864662443,1595736.4318340977,2654620.0357770114,2.3955267792095576,-1.539991667791488,5.488284677394363
86-88,R,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,8,122.58665514040284,50.94997735787418,204.99704485591582,33.79223809800416,19.015960973673746,49.92137608248444,88.79441704239868,24.90412849301702,162.9120965950207,22.165210241376784,6.959849730145154,40.453370319293036,1565603.5714285714,843940.7738095238,2770353.348214286,3.9622613342533533,1.87227886791126,6.510111917857163
69-75,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",85,90.83001934822303,60.50341422036734,126.3713790204558,21.335832211981682,14.624144876836931,28.891245371809543,69.49418713624134,41.7571438875471,102.4005185790257,24.46885139039338,16.459839226738527,33.88089341628682,1276845.1514572254,1027795.5129422554,1579578.6001434037,2.9704997536464957,2.040164588506193,3.965783161931371
41-43,F,CONSTRUCTION,7,83.15755332024,15.93760841378511,159.78410720761096,17.630471288708275,1.8378513024575116,33.872392770071734,65.52708203153172,11.875104439733812,135.0685308223588,8.570716102231973,-0.6060157346205497,17.25848621385391,1071772.857142857,497641.4285714286,1777001.4285714286,3.235997043160156,1.4398719317723745,5.396543134245748
90-93,S,"ARTS, SPORTS AND RECREATION",5,72.39874633082857,7.28237404565399,145.49578278570692,17.925490021489185,0.0,38.65726945900243,54.47325630933939,7.28237404565399,112.45109215875262,11.009854530993092,5.798579012760103,16.896437826252757,963337.3626373627,550551.6483516484,1376123.0769230768,3.953629071395693,2.868139374509767,5.039118768281619
77-82,O,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,11,62.36201797569107,24.85460571285786,105.12267625028255,17.253491649519955,7.716786234340812,28.18333705829857,45.10852632617111,14.612656734023826,79.7032151698202,14.211854502382971,5.810536167387765,23.663725067086858,1450457.0972886763,967080.6858054228,2052136.1881977671,4.065907599402994,2.4354160089986903,5.714060588510555
85,Q,EDUCATION,13,45.27969370175757,20.971498234861393,75.7015100610925,5.498093476884841,-1.0012059068037233,14.295857427294576,39.78160022487272,16.703129806085666,68.08633204629405,12.737587590751708,6.3399342669401575,19.29616565345017,882720.4301075267,609999.0384615385,1197987.5930521092,1.4703294345326137,-4.308736881187102,7.057147683221296
55-56,I,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,5,42.010986123718844,4.094610485116212,85.17818884472058,9.554796348662887,1.7519149450884128,17.12308094877173,32.456189775055954,2.2519692280839196,70.41265836632438,18.308985158034194,1.1712091761738794,41.09253888475464,1867800.0,506933.3333333333,4088866.6666666665,3.7882636606860522,1.2859177112065172,7.1061943530970675
