sni_2digit,n_years,trend_slope_pct_per_year,trend_p_value,trend_r_squared
43,8,205.19326332712825,0.8470162796984453,0.006717045987395129
80,5,28.002593630044604,0.37278274828158064,0.39340148085320703
53,8,27.477284360979038,0.26147346205218897,0.20383496175869545
33,6,23.94407157841479,0.2072017488410195,0.36099928585472113
58,8,19.46150979634614,0.09953963874165181,0.38706055062707284
90,5,15.364874533536295,0.48297132943689725,0.17526434206733235
59,6,12.241501365793923,0.4454587362902456,0.15161038065490093
88,7,7.276856583896734,0.4896606865657561,0.09996904890616327
72,8,5.996569025195129,0.6221804543427246,0.04300321851324939
27,8,5.416487995501446,0.05472376571167899,0.4857390254480019
74,6,3.179941080193089,0.8411512416774934,0.011299594934970856
63,8,2.0687091199092342,0.783733192759681,0.013546429665626572
79,4,0.38912174257579313,0.9677628311382868,0.001039235056218614
3,8,-0.22819956077774503,0.9749979542601863,0.00017784904289375875
70,8,-1.4783775233951983,0.9320477350650698,0.0013157314311003068
62,8,-2.3446901156146764,0.6249211354498454,0.04234428126120108
82,7,-2.9485347142047496,0.8283989691094852,0.010323576271227103
78,6,-4.628711955283769,0.8772789052928676,0.006723645425862604
17,6,-5.839808185506993,0.3832601052020203,0.19311439585399984
39,8,-6.2802248083504875,0.7686130922093545,0.015548301794463076
47,7,-7.115469537616898,0.34769971372360453,0.17671341385825814
68,5,-7.478380926375846,0.8038407874532361,0.023926568689171496
77,7,-9.544323824018962,0.7719540638613422,0.018379932516558565
85,8,-9.968906810118046,0.3261839033652867,0.15998554653716124
13,5,-10.861266563956647,0.4524889102453178,0.19819550878562564
69,6,-11.880002095402906,0.06420604650486657,0.616667881857438
73,7,-18.735314107118757,0.2939792305024672,0.2155257029106596
71,8,-20.10364100617532,0.16149611264782768,0.29814115863393675
46,8,-22.05164190584701,0.47642879613575795,0.08766798225134444
86,8,-23.005001952484424,0.34091163748409636,0.15129389493027018
26,6,-33.80230697575126,0.7336034076967632,0.03222973716418314
32,8,-37.15169188643964,0.040927748483121,0.5288506434213641
28,7,-37.21233954353736,0.5741432979260355,0.06733951394746406
64,6,-38.98346405488818,0.8671668324335894,0.010923913858918595
38,4,-40.84332377169024,0.6052603245105335,0.15581941140552938
45,6,-43.466636574749515,0.5103259693993526,0.11525485640899248
66,7,-51.4136508222594,0.15707769578943967,0.3562975163332769
1,7,-70.59433082010058,0.20042008389132085,0.30298128074352726
95,7,-78.01839771960574,0.19182463702221708,0.312738056145526
81,4,-94.17399999680762,0.1566285556329533,0.7112753931737585
10,4,-117.0451244376899,0.08480294169110303,0.8375856555372586
96,5,-125.68990880281201,0.3297265993229003,0.30991269647069997
22,6,-130.5917713516763,0.10826191777675706,0.515151135239142
56,8,-142.1387013083971,0.1391649797548622,0.3262552606918377
93,8,-171.23523411920536,0.06056238239304267,0.46995199795493386
61,8,-187.152045015017,0.1897663398053224,0.26702525812653777
42,5,-585.0223970937194,0.19100001936895278,0.4855858429440592
14,4,-1023.4568135787122,0.25855661837796434,0.5497382881511195
30,5,-2168.13868561177,0.15803455790799975,0.5386127514583035
