employee_penalty_alpha,score_mean,score_std,corr_with_efficiency_gap
1.0,87.26062678026773,141.85786373883212,1.0
0.75,93.69449560042409,145.00454642825164,0.9984163768889563
1.25,80.82675796011134,139.1800721389465,0.9982809425593288
0.5,100.1283644205805,148.5903342130844,0.9939540468629318
1.5,74.39288913995496,136.99866938417637,0.9928838292612249
1.75,67.95902031979857,135.33766032351295,0.983515696999521
2.0,61.525151499642206,134.2163669118841,0.9699984150990105
2.25,55.091282679485815,133.6483742833546,0.95229450959537
2.5,48.657413859329424,133.64073745126146,0.9305213760381159
2.75,42.22354503917304,134.19355208364354,0.9049504308054519
3.0,35.789676219016656,135.29994860128116,0.875990448305281
